customer_id,recharge_frequency,avg_recharge_amount,sim_age_months,call_stability,late_payment_ratio,avg_delay_days,upi_transaction_freq,credit_debit_ratio,location_stability,commute_regularity,daily_app_opens,avg_session_minutes,default_risk,default_probability
TRN_000158,5.879633375953115,558.75,28,0.5487,0.1537,0,8,0.63,19,1.35,2,13.6,0,0.1722
TRN_000159,1.6553657527593786,700.54,26,0.2418,0.0694,0,3,1.4,24,1.88,3,10.3,0,0.1845
TRN_000160,2.830220580667542,662.3,17,0.2166,0.2984,8,9,1.01,14,4.64,4,7.6,0,0.4144
TRN_000161,3.254601962323033,472.61,11,0.1302,0.1966,0,6,1.14,16,3.58,2,9.1,0,0.3894
TRN_000162,4.4685673156998575,678.91,35,0.0715,0.1028,0,14,1.45,18,2.53,3,8.3,0,0.5114
TRN_000163,2.7097109568662523,844.22,34,0.285,0.1823,0,14,1.03,24,4.85,3,5.2,0,0.2817
TRN_000164,4.461419002283795,421.31,8,0.4645,0.2318,7,12,0.72,17,4.14,3,3.0,0,0.2642
TRN_000165,4.126485740863351,747.69,51,0.6202,0.1274,0,9,1.24,13,1.27,3,10.0,0,0.0
TRN_000166,4.267714995828085,714.33,6,0.0819,0.0745,0,13,0.92,23,3.83,1,3.7,0,0.2704
TRN_000167,3.2119166955445815,654.48,58,0.1675,0.3042,7,8,0.82,22,3.54,1,6.5,0,0.4162
TRN_000168,5.954917055974096,587.92,10,0.1173,0.2256,6,10,0.83,21,1.62,1,4.2,0,0.202
TRN_000169,3.425774215580547,481.44,12,0.321,0.1247,0,13,0.75,20,1.28,3,9.5,0,0.3186
TRN_000170,2.3734431873143156,433.54,43,0.517,0.0651,0,13,1.35,18,1.72,2,4.7,0,0.2968
TRN_000171,4.214214088663875,413.34,13,0.3062,0.1328,0,10,1.24,14,3.19,4,7.4,0,0.2509
TRN_000172,4.893553375263272,698.9,53,0.1199,0.3248,12,14,1.04,20,4.22,2,13.0,0,0.3097
TRN_000173,6.422168186064777,451.7,46,0.6428,0.0489,0,10,1.07,18,3.1,3,9.6,0,0.2131
TRN_000174,2.2188018973923422,527.23,30,0.3759,0.3659,6,9,1.22,23,4.48,3,4.4,0,0.3171
TRN_000175,4.471719208725108,775.72,41,0.0881,0.4242,8,8,1.7,13,3.47,6,11.9,0,0.5949
TRN_000176,6.460921845232431,972.81,7,0.2108,0.1961,0,9,0.85,19,4.73,4,1.8,0,0.3085
TRN_000177,6.465067233706801,554.1,27,0.1453,0.0457,0,4,0.95,14,4.07,1,9.9,0,0.4114
TRN_000178,3.681132058017148,421.87,27,0.0302,0.0663,0,14,1.0,21,3.52,3,9.6,0,0.3048
TRN_000179,3.9665495744229204,396.67,41,0.2297,0.3263,3,11,1.24,19,3.33,6,8.6,0,0.273
TRN_000180,3.0506795876728123,528.4,32,0.413,0.0992,0,8,0.7,14,1.81,3,7.8,0,0.2093
TRN_000181,4.119257098551547,509.8,36,0.3678,0.151,0,16,1.27,15,3.8,5,7.5,0,0.1134
TRN_000182,2.8317444357693478,702.66,19,0.2838,0.1571,0,9,0.77,17,1.91,1,4.2,0,0.3025
TRN_000183,2.2625710054509933,247.76,38,0.3478,0.3135,4,12,1.21,17,2.54,3,8.9,0,0.2562
TRN_000184,3.9482173002530336,170.2,58,0.4051,0.1273,0,10,1.24,15,1.52,3,6.5,0,0.1461
TRN_000185,3.736932316151964,573.73,3,0.2358,0.1298,0,7,0.95,12,3.42,1,9.2,0,0.3295
TRN_000186,5.926143690922176,136.04,46,0.129,0.2315,5,6,0.77,18,2.27,1,10.4,0,0.2018
TRN_000187,4.068237214496128,583.75,49,0.5931,0.3658,11,13,0.63,17,2.94,4,4.5,0,0.3196
TRN_000188,1.6853226580856946,524.64,10,0.5707,0.1764,0,12,1.16,11,2.58,4,10.3,0,0.1883
TRN_000189,3.9102607847051445,574.03,46,0.5724,0.1923,0,10,0.92,17,4.93,4,5.1,0,0.1792
TRN_000190,4.2785328706281085,726.37,59,0.3708,0.3772,5,12,0.76,16,4.91,3,4.6,0,0.2865
TRN_000191,6.299400055803336,504.91,37,0.2689,0.1433,0,9,1.41,15,2.18,5,10.3,0,0.3655
TRN_000192,4.299135978980151,570.96,51,0.1851,0.0318,0,10,1.39,14,2.24,2,7.3,0,0.1042
TRN_000193,4.606319297915999,607.38,20,0.3307,0.2722,5,9,0.77,20,1.65,1,8.4,0,0.3503
TRN_000194,5.58088136710968,354.57,52,0.2378,0.2378,9,8,0.98,20,1.51,4,11.2,0,0.2903
TRN_000195,3.4405892193547953,777.25,44,0.3095,0.0387,0,10,1.44,21,2.26,2,11.8,0,0.3323
TRN_000196,4.396876804043667,481.08,24,0.3861,0.0838,0,7,1.02,14,4.64,2,7.4,0,0.3499
TRN_000197,4.895137969452774,196.45,10,0.3259,0.1477,0,14,1.13,22,2.4,2,6.2,0,0.3451
TRN_000198,6.097886506939158,733.61,21,0.4085,0.053,0,11,1.23,12,3.32,4,9.9,0,0.2603
TRN_000199,5.3479267593979705,294.75,30,0.3013,0.3022,7,11,1.24,19,2.24,4,5.4,0,0.4279
TRN_000200,1.0664576390185072,547.14,13,0.1851,0.1743,0,8,1.08,15,1.58,1,6.7,0,0.3619
TRN_000201,4.5225126088691905,365.33,32,0.1308,0.2469,7,15,0.79,17,4.05,5,13.8,0,0.3797
TRN_000202,3.643397384442423,534.93,3,0.2897,0.1192,0,7,1.21,17,1.43,1,7.3,0,0.316
TRN_000203,2.9704947295977626,373.49,49,0.2895,0.1233,0,6,1.01,22,1.35,4,6.5,0,0.2377
TRN_000204,3.74178358943729,608.83,59,0.3021,0.3659,10,11,0.78,17,1.37,1,7.0,0,0.4388
TRN_000205,5.0295303325218,374.17,49,0.1708,0.1222,0,10,1.01,17,2.77,4,9.9,0,0.1778
TRN_000206,3.539412521636932,680.11,19,0.3992,0.0518,0,10,1.62,19,1.77,3,6.8,0,0.216
TRN_000207,4.935110707419874,605.52,35,0.6665,0.1879,0,9,1.31,21,3.07,3,5.2,0,0.205
TRN_000208,2.112962957156822,609.74,51,0.3309,0.0747,0,7,1.44,17,1.08,4,10.9,0,0.2951
TRN_000209,3.7136916706702303,470.27,14,0.2321,0.1369,0,9,1.39,25,4.75,5,7.9,0,0.3058
TRN_000210,2.2335834882823407,780.97,35,0.3382,0.19,0,10,1.01,20,4.06,2,8.4,0,0.2727
TRN_000211,2.3738942726436565,553.66,9,0.221,0.3211,6,9,1.03,24,3.88,2,6.8,0,0.3039
TRN_000212,5.082855228157213,309.5,58,0.3384,0.2695,10,10,0.85,23,2.33,4,5.8,0,0.2993
TRN_000213,2.6732453904099702,421.91,43,0.0543,0.31,8,9,1.33,14,1.21,4,2.3,0,0.4848
TRN_000214,3.5807388050551996,476.25,22,0.1862,0.1164,0,8,1.48,9,1.02,5,5.5,0,0.168
TRN_000215,4.371680771578123,740.19,56,0.3211,0.1074,0,6,1.8,27,3.16,1,7.3,0,0.3411
TRN_000216,5.42321964470743,519.6,43,0.3514,0.1057,0,6,0.94,23,3.11,2,8.5,0,0.3384
TRN_000217,1.4749829581407514,452.72,35,0.2918,0.2322,6,12,1.51,25,1.36,3,8.0,0,0.2476
TRN_000218,3.6187684709952257,354.99,41,0.5271,0.0938,0,12,0.86,20,4.94,5,7.2,0,0.31
TRN_000219,3.4365495013516965,702.67,15,0.4476,0.1328,0,12,1.21,17,2.35,1,11.3,0,0.0115
TRN_000220,6.301723152691773,668.36,12,0.1611,0.1259,0,8,1.28,10,3.36,4,7.4,0,0.3461
TRN_000221,5.879699237152365,618.49,26,0.3072,0.2817,9,10,1.05,16,2.5,4,4.4,0,0.4217
TRN_000222,4.430161168573879,477.92,51,0.2148,0.1053,0,5,1.07,18,1.15,3,9.7,0,0.2181
TRN_000223,4.782253788354779,474.15,13,0.0661,0.0798,0,12,1.06,18,3.28,6,3.2,0,0.3022
TRN_000224,1.0,248.63,37,0.0325,0.1816,0,15,1.17,18,1.99,4,10.7,0,0.2898
TRN_000225,4.199181722615597,726.2,52,0.4243,0.1424,0,14,1.21,24,2.26,2,10.8,0,0.199
TRN_000226,2.094430793187393,434.16,36,0.0881,0.204,12,10,0.61,18,3.21,5,3.8,0,0.5755
TRN_000227,3.827335459115141,448.11,3,0.5401,0.0986,0,11,1.17,18,3.11,2,8.2,0,0.1846
TRN_000228,1.893640650607617,479.87,41,0.2728,0.4021,5,5,0.82,23,1.21,6,5.9,0,0.3399
TRN_000229,3.138848987074603,580.46,23,0.4688,0.1756,0,10,1.26,30,2.98,1,6.4,0,0.1195
TRN_000230,4.013711013733949,210.37,34,0.1736,0.2098,6,12,1.05,16,3.25,1,8.7,0,0.2997
TRN_000231,3.6990410517618524,555.13,4,0.6817,0.1298,0,10,1.27,17,2.54,3,6.2,0,0.1856
TRN_000232,3.76667579705601,650.02,10,0.4852,0.1208,0,8,0.78,22,1.15,2,8.1,0,0.0013
TRN_000233,3.1384263243055908,550.23,26,0.5339,0.2641,9,9,1.09,24,2.64,4,12.4,0,0.2137
TRN_000234,5.223647747484989,417.95,59,0.2315,0.1288,0,13,1.71,21,1.52,3,4.0,0,0.364
TRN_000235,5.936137636183642,888.19,56,0.0795,0.0784,0,13,1.41,19,3.65,3,9.8,0,0.2494
TRN_000236,6.0889823324260774,442.24,54,0.0456,0.2864,6,13,1.01,23,3.38,1,7.5,0,0.5467
